City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,pisco,-13.7,-76.2167,21.31,67,52,3.38,PE,1690567200
172,sinabang,2.4803,96.3801,29.84,70,81,1.69,ID,1690437600
173,brookings,44.3114,-96.7984,36.88,27,50,2.56,US,1690491600
174,nova vicosa,-17.8919,-39.3719,25.9,59,84,2.42,BR,1690556400
175,kargasok,59.0556,80.8572,25.91,51,100,3.53,RU,1690707600
176,paita,-5.0892,-81.1144,25.08,67,5,5.49,PE,1690480800
177,caleta olivia,-46.4393,-67.5281,15.53,41,46,20.64,AR,1690826400
178,ilhabela,-23.7781,-45.3581,25.69,49,1,1.15,BR,1690459200
179,hobyo,5.3505,48.5268,28.58,67,51,12.6,SO,1690448400
180,fukuecho,32.6881,128.8419,29.82,77,38,2.92,JP,1690437600
181,ghanzi,-21.5667,21.7833,28.98,15,16,7.02,BW,1690545600
182,mangrol,21.1167,70.1167,28.74,77,89,8.98,IN,1690534800
183,kuala belait,4.5833,114.1833,31.99,62,67,5.14,BN,1690437600
184,newport,51.5877,-2.9984,20.2,76,43,7.63,GB,1690470000
185,charters towers,-20.1,146.2667,25.36,26,2,6.82,AU,1690858800
186,port blair,11.6667,92.75,29.86,78,54,8.06,IN,1690437600
187,polyarnyy,69.1989,33.4478,16.15,78,55,4.72,RU,1690545600
188,nova sintra,14.8667,-24.7167,23.57,72,20,2.76,CV,1690815600
189,fortuna,40.5982,-124.1573,22.17,54,16,3.93,US,1690837200
190,panama city beach,30.1766,-85.8055,32.21,57,46,4.25,US,1690826400
191,touros,-5.1989,-35.4608,29.7,61,47,8.15,BR,1690815600
192,enriquillo,17.9,-71.2333,31.22,64,26,5.59,DO,1690826400
193,wailua homesteads,22.0669,-159.378,26.83,62,38,5.17,US,1690502400
194,wewak,-3.5534,143.6268,29.19,69,85,2.69,PG,1690858800
195,susuman,62.7833,148.1667,18.32,35,73,2.9,RU,1690610400
196,mancio lima,-7.6142,-72.8958,36.82,28,3,1.97,BR,1690826400
197,la ronge,55.1001,-105.2842,21.42,42,15,2.61,CA,1690761600
198,tadine,-21.55,167.8833,21.91,55,8,7.24,NC,1690848000
199,portland,45.5234,-122.6762,29.9,21,0,1.41,US,1690588800
200,swift current,50.2834,-107.8014,32.37,27,1,5.68,CA,1690761600
201,molteno,-31.3968,26.3625,18.57,35,3,14.58,ZA,1690545600
202,udachny,66.4167,112.4,27.07,29,0,4.21,RU,1690707600
203,whitehorse,60.7161,-135.0538,26.77,32,11,1.01,CA,1690664400
204,la'ie,21.6477,-157.9253,26.72,70,63,7.78,US,1690848000
205,breves,-1.6822,-50.4803,36.01,34,4,2.65,BR,1690480800
206,praia da vitoria,38.7333,-27.0667,25.54,75,3,0.96,PT,1690729200
207,bol'sherech'ye,56.0925,74.6272,26.22,42,44,1.99,RU,1690534800
208,kapuskasing,49.4169,-82.4331,26.92,52,88,5.49,CA,1690491600
209,kirensk,57.7853,108.1119,29.06,49,97,2.76,RU,1690696800
210,tazacorte,28.629,-17.9293,24.9,72,0,4.28,ES,1690815600
211,saint-pierre,-21.3393,55.4781,23.61,69,7,2.73,RE,1690794000
212,micheweni,-4.9667,39.8333,27.43,62,51,4.01,TZ,1690621200
213,elverum,60.8819,11.5623,22.48,41,52,1.36,NO,1690642800
214,nikolayevsk-on-amure,53.1406,140.73,28.82,42,92,1.98,RU,1690513200
215,walvis bay,-22.9575,14.5053,27.67,12,0,6.55,NA,1690804800
216,namibe,-15.1961,12.1522,23.29,54,36,3.81,AO,1690718400
217,al kharijah,25.4514,30.5464,44.41,6,1,5.17,EG,1690545600
218,tura,25.5198,90.2201,31.66,68,85,0.47,IN,1690794000
219,ardakan,32.31,54.0175,42.58,9,19,2.09,IR,1690545600
220,marakkanam,12.2,79.95,35.67,39,75,6.81,IN,1690707600
221,holmsund,63.706,20.3641,19.82,66,100,4.25,SE,1690642800
222,ban tak,17.0432,99.0813,34.22,57,63,4.84,TH,1690437600
223,torbat-e jam,35.244,60.6225,36.39,11,0,11.04,IR,1690804800
224,trevelin,-43.0858,-71.4639,10.25,69,99,10.45,AR,1690815600
225,sampit,-2.5333,112.95,33.5,38,25,2.47,ID,1690610400
226,ugoofaaru,5.6667,73.0,28.5,72,79,5.16,MV,1690707600
227,madinat ash shamal,26.1293,51.2009,38.57,35,0,3.63,QA,1690804800
228,flying fish cove,-10.4217,105.6791,25.54,77,74,9.31,CX,1690437600
229,mana,5.6592,-53.7767,30.75,66,21,4.97,GF,1690653600
230,malanville,11.8685,3.3899,36.56,37,100,1.96,BJ,1690470000
231,vilyuchinsk,52.9306,158.4028,18.99,83,98,2.79,RU,1690437600
232,ndjole,-0.1783,10.7649,34.96,37,91,2.25,GA,1690470000
233,kuqa,41.7278,82.9364,37.22,16,38,4.24,CN,1690448400
234,nar'yan-mar,67.6713,53.087,23.84,48,88,4.51,RU,1690718400
235,acarau,-2.8856,-40.12,31.9,52,11,7.6,BR,1690470000
236,gadzhiyevo,69.2551,33.3362,15.57,79,58,5.54,RU,1690545600
237,ceeldheer,3.8488,47.1806,29.76,56,22,10.99,SO,1690794000
